"Implementation",                   "Organization",          "Name",                              "Roles"
"impl-intel-security",              "Intel Corporation",     "Security Proxy",                    "processor"
"impl-intel-ocf-bridge",            "Intel Corporation",     "OCF Metadata Translator",           "producer"
"impl-intel-nodejs",                "Intel Corporation",     "Simple NodeJS template",            "producer"
"impl-eclipse-node-wot",            "Eclipse Foundation",    "node-wot",                          "consumer producer"
"impl-siemens-thingweb-directory",  "Siemens AG",            "Thingweb Directory",                "consumer producer"
"impl-siemens-wot-fxui",            "Siemens AG",            "WoT-fxUI",                          "consumer"
"impl-panasonic-authentication",    "Panasonic Corporation", "Authentication Server",             "component"
"impl-panasonic-client-browser",    "Panasonic Corporation", "Browser Based Client",              "consumer"
"impl-panasonic-client-nodered",    "Panasonic Corporation", "Node-RED Based Client",             "consumer"
"impl-panasonic-server-real",       "Panasonic Corporation", "WoT Server for Real Devices",       "producer"
"impl-panasonic-server-simulator",  "Panasonic Corporation", "WoT Simulator",                     "producer"
"impl-ercim-arena-client",          "ERCIM",                 "Arena Client",                      "consumer"
"impl-ercim-arena-webhub",          "ERCIM",                 "Arena WebHub",                      "producer"
"impl-hitachi-nodegen",             "Hitachi, Ltd.",         "Node generator for Node-RED",       "consumer"
"impl-SmartThings-1",               "SmartThings",           "SmartThings 1",                     "producer"
"impl-SmartThings-2",               "SmartThings",           "SmartThings 2",                     "producer"
"impl-SmartThings-3",               "SmartThings",           "SmartThings 3",                     "producer"
"impl-oracle-simulators",           "Oracle",                "Simulators",                        "producer consumer"
"impl-tum-flask",                   "TUM",                   "Flask Things",                      "producer"
"impl-tum-goback",                  "TUM",                   "Go Back Proxy",                     "processor"
